REP,GENO,LOC,PROT,BC,FE,ZN,CA,MG,STAR,FRUC,GLUC,SUCR,MALT,DM,VW,NOPS,NOCR,NONC,CRW,NCRW,RYTHA,TRW,BIOM,HI,CI,FYTHA,CYTHA
1,6457,Satipo,5.5091534,25.196381,1.7800879,1.0466895,115.4848633,99.822876,67.2863998,2.4659958,4.478713,5.5936394,0.664979,39.80099502,3.82,3,9,3,3.01,0.16,46.916,3.17,6.99,45.35050072,94.95268139,56.536,44.548
1,6458,La Molina,6.7907143,0,2.2572026,1.8500299,636.4327393,280.8925476,56.8467407,3.2268133,7.1097302,17.3154945,0.6820993,22.71604938,1.79,3,2,2,0.16,0.13,4.292,0.29,2.08,13.94230769,55.17241379,26.492,2.368
1,6458,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,2,7,2,2.61,0.12,40.404,2.73,5.96,45.80536913,95.6043956,47.804,38.628
1,6459,Satipo,5.7180481,0,1.5721736,1.2068319,87.7103271,63.5291138,66.5161133,1.8565702,3.6849952,7.5144606,0.4596691,35.89108911,6.49,3,10,11,2.52,0.51,44.844,3.03,9.52,31.82773109,83.16831683,96.052,37.296
1,6459,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69,3,0,0,0,0,0,0,1.69,0,NA,25.012,0
1,6460,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,2,3,0,1.15,0,17.02,1.15,3.19,36.05015674,100,30.192,17.02
1,6460,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,3,0,1,0,0.13,1.924,0.13,1.6,8.125,0,21.756,0
1,6461,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,3,9,0,3.25,0,48.1,3.25,9.82,33.09572301,100,97.236,48.1
1,6461,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37,3,0,1,0,0.13,1.924,0.13,4.5,2.888888889,0,64.676,0
1,6462,Satipo,6.6815042,192.770081,1.9584227,1.2471633,137.7148438,89.8822174,63.2506256,3.2590876,5.570322,7.028512,0.3567877,32.67326733,1.78,3,7,4,2.1,0.12,32.856,2.22,4,55.5,94.59459459,26.344,31.08
1,6462,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,3,0,0,0,0,0,0,1.51,0,NA,22.348,0
1,6463,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,3,10,4,5.07,0.16,77.404,5.23,10.13,51.62882527,96.94072658,72.52,75.036
1,6463,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,2,0,0,0,0,0,0,2.19,0,NA,32.412,0
1,6464,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,2,3,0,0.61,0,9.028,0.61,1.69,36.09467456,100,15.984,9.028
1,6464,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1,0,10,0.06,0,0.888,0.06,0.31,19.35483871,100,3.7,0.888
1,6465,La Molina,6.1155014,1.98349,1.5487189,1.713975,163.2814941,102.2004242,69.2165451,0.876853,3.0520134,7.8578844,0.0728064,27.29528536,2.35,2,1,0,0.38,0,5.624,0.38,2.73,13.91941392,100,34.78,5.624
1,6465,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3,5,0,1.43,0,21.164,1.43,2.53,56.52173913,100,16.28,21.164
1,6466,La Molina,7.0973625,0,1.7354445,1.5429649,222.7489624,115.864975,70.2158585,0.9450731,2.8511024,7.2081547,0,30.54187192,1.18,3,1,4,0.56,0.1,9.768,0.66,1.84,35.86956522,84.84848485,17.464,8.288
1,6466,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,3,2,7,0.68,0.37,15.54,1.05,3.2,32.8125,64.76190476,31.82,10.064
1,6467,La Molina,6.4297476,243.641205,1.7822556,1.5806093,173.6195068,80.7340088,60.4310379,1.9367895,4.1725736,14.6618061,0.0367632,24.9382716,0.24,3,2,2,0.75,0.22,14.356,0.97,1.21,80.16528926,77.31958763,3.552,11.1
1,6467,Satipo,6.1619396,201.799774,2.01087,1.2433443,146.2114258,89.948349,53.1218796,6.1112757,9.2899714,10.4340477,0.7070055,28.46534653,1.85,2,5,1,1.72,0.08,26.64,1.8,3.65,49.31506849,95.55555556,27.38,25.456
1,6468,La Molina,5.8198948,68.970032,1.7072291,1.5172148,322.2126465,136.4247437,63.28479,2.5949211,5.1669126,12.7849083,0.3344688,24.37810945,0.75,3,5,2,2,0.12,31.376,2.12,2.87,73.86759582,94.33962264,11.1,29.6
1,6468,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,3,9,5,2.74,0.25,44.252,2.99,5.96,50.16778523,91.63879599,43.956,40.552
1,6469,La Molina,7.4482031,0,2.0665674,1.8627758,455.6791992,195.0143738,63.0702095,1.1993876,4.1096292,12.2286892,0.0415382,31.34328358,0.95,3,1,3,0.13,0.12,3.7,0.25,1.2,20.83333333,52,14.06,1.924
